,DrugBank_x,DrugBank_y,cell,score
0,373,484,nan,1
1,373,654,nan,1
2,484,654,nan,1
3,373,1194,nan,1
4,654,1194,nan,1
5,484,1194,nan,1
6,373,905,nan,1
7,373,869,nan,1
8,373,999,nan,1
9,584,999,nan,1
10,381,999,nan,1
11,612,999,nan,1
12,542,999,nan,1
13,492,999,nan,1
14,275,999,nan,1
15,594,999,nan,1
16,722,999,nan,1
17,678,999,nan,1
18,968,999,nan,1
19,264,999,nan,1
20,177,999,nan,1
21,571,999,nan,1
22,881,999,nan,1
23,796,999,nan,1
24,966,999,nan,1
25,421,999,nan,1
26,384,999,nan,1
27,876,999,nan,1
28,443,2300,nan,1
29,257,443,nan,1
30,1034,1235,nan,1
31,190,1235,nan,1
32,1109,54,nan,1
33,877,54,nan,1
34,15,54,nan,1
35,1109,63,nan,1
36,983,1222,nan,1
37,448,1222,nan,1
38,983,1409,nan,1
39,1274,1409,nan,1
40,5039,1409,nan,1
41,983,764,nan,1
42,300,625,nan,1
43,300,709,nan,1
44,495,709,nan,1
45,300,879,nan,1
46,625,879,nan,1
47,188,773,nan,1
48,188,2546,nan,1
49,619,2546,nan,1
50,853,2546,nan,1
51,188,480,nan,1
52,73,480,nan,1
53,188,515,nan,1
54,441,515,nan,1
55,72,515,nan,1
56,361,515,nan,1
57,188,1262,nan,1
58,1229,1262,nan,1
59,313,1262,nan,1
60,188,997,nan,1
61,515,997,nan,1
62,313,997,nan,1
63,305,997,nan,1
64,72,997,nan,1
65,398,997,nan,1
66,399,997,nan,1
67,331,997,nan,1
68,188,1177,nan,1
69,526,1254,nan,1
70,1248,1254,nan,1
71,526,762,nan,1
72,515,762,nan,1
73,317,762,nan,1
74,526,1101,nan,1
75,762,1101,nan,1
76,112,1101,nan,1
77,619,1101,nan,1
78,398,1101,nan,1
79,531,1101,nan,1
80,178,796,nan,1
81,584,796,nan,1
82,178,1258,nan,1
83,381,1258,nan,1
84,1029,1258,nan,1
85,999,1258,nan,1
86,678,1258,nan,1
87,177,1258,nan,1
88,1197,1258,nan,1
89,178,1029,nan,1
90,381,1029,nan,1
91,999,1029,nan,1
92,1023,1029,nan,1
93,762,1248,nan,1
94,441,1248,nan,1
95,72,1248,nan,1
96,432,1248,nan,1
97,1101,1248,nan,1
98,997,1248,nan,1
99,317,1248,nan,1
100,530,1248,nan,1
101,361,1248,nan,1
102,635,1248,nan,1
103,958,1248,nan,1
104,445,1248,nan,1
105,1232,1601,nan,1
106,503,1601,nan,1
107,80,1045,nan,1
108,207,1045,nan,1
109,688,1045,nan,1
110,951,1045,nan,1
111,1033,1045,nan,1
112,80,415,nan,1
113,584,1054,nan,1
114,584,1023,nan,1
115,264,1023,nan,1
116,584,1136,nan,1
117,112,530,nan,1
118,515,530,nan,1
119,112,1229,nan,1
120,441,1229,nan,1
121,72,1229,nan,1
122,1101,1229,nan,1
123,997,1229,nan,1
124,115,1229,nan,1
125,531,1229,nan,1
126,539,1229,nan,1
127,112,1268,nan,1
128,1101,1268,nan,1
129,317,1268,nan,1
130,398,1268,nan,1
131,112,1259,nan,1
132,1229,1259,nan,1
133,1101,1259,nan,1
134,1030,1259,nan,1
135,1006,1259,nan,1
136,112,34,nan,1
137,112,4106,nan,1
138,112,6287,nan,1
139,1075,6287,nan,1
140,34,6287,nan,1
141,512,798,nan,1
142,415,798,nan,1
143,1229,5109,nan,1
144,515,5109,nan,1
145,997,5109,nan,1
146,1229,2342,nan,1
147,515,2342,nan,1
148,997,2342,nan,1
149,1229,8916,nan,1
150,1229,10177,nan,1
151,1229,5719,nan,1
152,1229,758,nan,1
153,945,758,nan,1
154,1076,758,nan,1
155,1590,758,nan,1
156,966,758,nan,1
157,362,681,nan,1
158,544,650,nan,1
159,544,2380,nan,1
160,544,104,nan,1
161,441,6626,nan,1
162,441,526,nan,1
163,515,526,nan,1
164,441,958,nan,1
165,773,958,nan,1
166,72,958,nan,1
167,412,958,nan,1
168,398,958,nan,1
169,642,958,nan,1
170,755,1169,nan,1
171,755,1190,nan,1
172,684,760,nan,1
173,313,760,nan,1
174,684,1234,nan,1
175,537,1234,nan,1
176,480,1234,nan,1
177,73,1234,nan,1
178,281,1234,nan,1
179,994,1234,nan,1
180,684,873,nan,1
181,684,324,nan,1
182,634,324,nan,1
183,818,1236,nan,1
184,818,899,nan,1
185,818,683,nan,1
186,813,683,nan,1
187,515,1030,nan,1
188,515,531,nan,1
189,72,531,nan,1
190,515,987,nan,1
191,631,987,nan,1
192,515,4915,nan,1
193,515,853,nan,1
194,619,853,nan,1
195,515,877,nan,1
196,619,877,nan,1
197,91,877,nan,1
198,688,877,nan,1
199,864,877,nan,1
200,515,1035,nan,1
201,515,642,nan,1
202,530,642,nan,1
203,531,642,nan,1
204,515,544,nan,1
205,398,544,nan,1
206,415,1598,nan,1
207,803,1598,nan,1
208,207,1598,nan,1
209,560,1598,nan,1
210,1597,1598,nan,1
211,415,1032,nan,1
212,537,1032,nan,1
213,950,1032,nan,1
214,927,1032,nan,1
215,295,996,nan,1
216,313,996,nan,1
217,906,996,nan,1
218,564,996,nan,1
219,776,996,nan,1
220,295,316,nan,1
221,193,316,nan,1
222,241,316,nan,1
223,295,1221,nan,1
224,295,704,nan,1
225,325,1119,nan,1
226,8,811,nan,1
227,252,313,nan,1
228,273,313,nan,1
229,313,593,nan,1
230,313,734,nan,1
231,313,555,nan,1
232,273,555,nan,1
233,313,1356,nan,1
234,1238,1356,nan,1
235,661,1356,nan,1
236,313,334,nan,1
237,313,1238,nan,1
238,1169,3080,nan,1
239,987,16862,nan,1
240,987,694,nan,1
241,575,633,nan,1
242,773,4960,nan,1
243,399,4960,nan,1
244,72,188,nan,1
245,72,445,nan,1
246,72,361,nan,1
247,72,675,nan,1
248,72,441,nan,1
249,72,317,nan,1
250,72,6366,nan,1
251,72,112,nan,1
252,482,1586,nan,1
253,412,6335,nan,1
254,1132,6335,nan,1
