"compound1_x","compound1_y","network_class"
"1",694,1262,"parallel pathway"
"2",481,1262,"same pathway"
"3",642,1262,"parallel pathway"
"4",1206,1262,"notingraph"
"5",380,1262,"parallel pathway"
"6",773,1262,"parallel pathway"
"7",444,1262,"parallel pathway"
"8",480,1262,"same pathway"
"9",990,1262,"parallel pathway"
"10",1204,1262,"parallel pathway"
"11",351,1262,"same pathway"
"12",851,1262,"same pathway"
"13",361,1262,"same pathway"
"14",317,1262,"same pathway"
"15",544,1262,"parallel pathway"
"16",1033,1262,"notingraph"
"17",570,1262,"same pathway"
"18",1181,1262,"same pathway"
"19",724,1262,"same pathway"
"20",855,1262,"notingraph"
"21",947,1262,"same pathway"
"22",1030,1262,"notingraph"
"23",563,1262,"parallel pathway"
"24",385,1262,"parallel pathway"
"25",531,1262,"same pathway"
"26",290,1262,"parallel pathway"
"27",1103,1262,"same pathway"
"28",648,1262,"same pathway"
"29",552,1262,"same pathway"
"30",1041,1262,"same pathway"
"31",437,1262,"parallel pathway"
"32",428,1262,"parallel pathway"
"33",1217,1262,"parallel pathway"
"34",1168,1262,"notingraph"
"35",928,1262,"same target"
"36",6176,1262,"parallel pathway"
"37",631,1262,"parallel pathway"
"38",877,1262,"same pathway"
"39",2546,1262,"same pathway"
"40",5482,1262,"same pathway"
"41",1280,1262,"same pathway"
"42",4868,1262,"same pathway"
"43",441,1262,"parallel pathway"
"44",1101,1262,"parallel pathway"
"45",8881,1262,"same pathway"
"46",8865,1262,"same pathway"
"47",6589,1262,"same pathway"
"48",5812,1262,"parallel pathway"
"49",6626,1262,"same pathway"
"50",6772,1262,"parallel pathway"
"51",8828,1262,"same pathway"
"52",8877,1262,"same pathway"
"53",5294,1262,"same pathway"
"54",987,1262,"parallel pathway"
"55",242,1262,"notingraph"
"56",322,1262,"parallel pathway"
"57",523,1262,"same pathway"
"58",482,1262,"same pathway"
"59",970,1262,"parallel pathway"
"60",1229,1262,"parallel pathway"
"61",675,1262,"parallel pathway"
"62",619,1262,"same pathway"
"63",1073,1262,"parallel pathway"
"64",541,1262,"same pathway"
"65",1248,1262,"parallel pathway"
"66",1254,1262,"same pathway"
"67",1006,1262,"parallel pathway"
"68",1259,1262,"same pathway"
"69",398,1262,"same pathway"
"70",1590,1262,"same pathway"
"71",1268,1262,"same pathway"
"72",6813,1262,"parallel pathway"
"73",1005,1262,"parallel pathway"
"74",399,1262,"parallel pathway"
"75",445,1262,"parallel pathway"
"76",694,445,"same target"
"77",481,445,"same pathway"
"78",642,445,"parallel pathway"
"79",1206,445,"notingraph"
"80",380,445,"same target"
"81",773,445,"same target"
"82",444,445,"same target"
"83",480,445,"same pathway"
"84",990,445,"parallel pathway"
"85",1204,445,"same target"
"86",351,445,"same pathway"
"87",851,445,"same pathway"
"88",361,445,"same pathway"
"89",317,445,"same pathway"
"90",544,445,"parallel pathway"
"91",1033,445,"notingraph"
"92",570,445,"same pathway"
"93",1181,445,"same pathway"
"94",724,445,"same pathway"
"95",855,445,"notingraph"
"96",947,445,"same pathway"
"97",1030,445,"notingraph"
"98",563,445,"parallel pathway"
"99",385,445,"same target"
"100",531,445,"same pathway"
"101",290,445,"parallel pathway"
"102",1103,445,"same pathway"
"103",648,445,"same pathway"
"104",552,445,"same pathway"
"105",1041,445,"same pathway"
"106",437,445,"parallel pathway"
"107",4845,445,"parallel pathway"
"108",530,445,"same pathway"
"109",428,445,"parallel pathway"
"110",1262,445,"parallel pathway"
"111",262,445,"parallel pathway"
"112",1217,445,"parallel pathway"
"113",1168,445,"notingraph"
"114",1143,445,"notingraph"
"115",188,445,"parallel pathway"
"116",515,445,"same pathway"
"117",1169,445,"same pathway"
"118",1177,445,"same target"
"119",928,445,"parallel pathway"
"120",6176,445,"parallel pathway"
"121",631,445,"parallel pathway"
"122",877,445,"same pathway"
"123",2546,445,"same pathway"
"124",5482,445,"same pathway"
"125",1280,445,"same pathway"
"126",4868,445,"same pathway"
"127",441,445,"parallel pathway"
"128",1101,445,"parallel pathway"
"129",987,445,"parallel pathway"
"130",242,445,"notingraph"
"131",322,445,"parallel pathway"
"132",523,445,"same pathway"
"133",482,445,"same pathway"
"134",970,445,"same target"
"135",1229,445,"parallel pathway"
"136",675,445,"parallel pathway"
"137",619,445,"same pathway"
"138",1073,445,"parallel pathway"
"139",541,445,"same pathway"
"140",1248,445,"parallel pathway"
"141",1254,445,"same pathway"
"142",1006,445,"parallel pathway"
"143",1259,445,"same pathway"
"144",398,445,"same pathway"
"145",1590,445,"same pathway"
"146",1268,445,"same pathway"
"147",6813,445,"parallel pathway"
"148",1005,445,"parallel pathway"
"149",399,445,"parallel pathway"
"150",694,1030,"notingraph"
"151",481,1030,"notingraph"
"152",642,1030,"notingraph"
"153",1206,1030,"notingraph"
"154",380,1030,"notingraph"
"155",773,1030,"notingraph"
"156",444,1030,"notingraph"
"157",480,1030,"notingraph"
"158",990,1030,"notingraph"
"159",1204,1030,"notingraph"
"160",351,1030,"notingraph"
"161",851,1030,"notingraph"
"162",361,1030,"notingraph"
"163",317,1030,"notingraph"
"164",544,1030,"notingraph"
"165",1033,1030,"notingraph"
"166",570,1030,"notingraph"
"167",1181,1030,"notingraph"
"168",724,1030,"notingraph"
"169",855,1030,"notingraph"
"170",947,1030,"notingraph"
"171",563,1030,"notingraph"
"172",385,1030,"notingraph"
"173",531,1030,"notingraph"
"174",290,1030,"notingraph"
"175",1103,1030,"notingraph"
"176",648,1030,"notingraph"
"177",552,1030,"notingraph"
"178",1041,1030,"notingraph"
"179",437,1030,"notingraph"
"180",428,1030,"notingraph"
"181",1217,1030,"notingraph"
"182",1168,1030,"notingraph"
"183",1143,1030,"notingraph"
"184",928,1030,"notingraph"
"185",6176,1030,"notingraph"
"186",631,1030,"notingraph"
"187",877,1030,"notingraph"
"188",2546,1030,"notingraph"
"189",5482,1030,"same target"
"190",1280,1030,"notingraph"
"191",4868,1030,"notingraph"
"192",441,1030,"notingraph"
"193",1101,1030,"notingraph"
